141,BOMBEROS,-37.670736621456456,-71.56389108770651,55,7,3,1956019543,1604,3977,Standby,8,165
22,BOMBEROS,-37.42779034261806,-71.61410506133153,63,7,3,1982123220,1408,4059,Standby,8,165
105,BRIGADA,-37.390016571323244,-71.60353918159878,80,4,3,2361083775,2274,5359,Standby,8,165
104,BRIGADA,-37.58665550572082,-71.40994062390523,111,5,3,2466415435,1903,3151,Standby,8,165
29,BOMBEROS,-37.40198799755365,-71.42882567066421,64,8,4,2001469549,1568,15221,Standby,8,165
181,BOMBEROS,-37.77155798419,-71.40525054889208,59,7,3,1967281709,1558,22227,Standby,8,165
30,BRIGADA,-37.263886289298895,-71.60316661960454,103,5,3,2543226661,2032,15438,Standby,8,165
195,BRIGADA,-37.72074421055524,-71.34755939030795,97,5,4,2554664950,2075,17275,Standby,8,165
157,BRIGADA,-37.34175569301138,-71.83700275198046,83,6,3,2575760702,1991,21401,Standby,8,165
31,HELICOPTERO,-37.86813111221948,-71.5247571055812,214,1,1,4068351977,2910,-203,Standby,8,166
49,BOMBEROS,-37.68271406204455,-71.27092573788686,62,6,3,2004231496,1513,28769,Standby,8,165
123,BOMBEROS,-37.45166308613871,-71.95181014658564,58,6,3,2078959725,1424,30557,Standby,8,165
138,HELICOPTERO,-37.15646962297924,-71.62985547872171,125,0,1,4010028836,3084,23722,Standby,8,165
45,HELICOPTERO,-37.17111429975379,-71.31477462274576,174,0,1,4062275999,3014,24429,Standby,8,165
62,BRIGADA,-37.22646472213181,-71.96828132673568,102,6,3,2544212256,1949,37481,Standby,8,165
5,BOMBEROS,-37.03608056709963,-71.58124593572806,59,6,4,2162003495,1496,47807,Standby,8,165
139,BOMBEROS,-37.6718307545311,-71.07786718744605,68,5,3,1900735650,1563,47877,Standby,8,165
37,BOMBEROS,-37.166510196040484,-71.2314221988573,65,6,2,2178205915,1603,48712,Standby,8,165
52,BOMBEROS,-37.07607976596385,-71.32787508746686,59,6,2,2166485754,1599,51381,Standby,8,165
164,BOMBEROS,-37.48871459879244,-71.047438776293,58,6,3,1851404708,1333,52034,Standby,8,165
156,BRIGADA,-37.05061097302611,-71.86025178148932,97,4,2,2297245216,1972,46639,Standby,8,165
81,BOMBEROS,-36.963674903646215,-71.30191546713006,52,7,4,1972193949,1468,64782,Standby,8,165
133,BRIGADA,-36.96660435588047,-71.97128231358177,120,5,3,2891241784,1967,56900,Standby,8,165
42,BRIGADA,-36.928149398710595,-71.9102089279766,88,5,2,2481524881,2179,62634,Standby,8,165
89,AVION,-37.41337938958735,-70.91416535563685,433,2,1,5099545080,5110,6004,Standby,8,165
86,BOMBEROS,-36.827686597469935,-71.82410578589992,61,5,2,2069689514,1402,73945,Standby,8,165
4,BOMBEROS,-36.691443582622085,-71.42998913001006,56,6,3,1918651198,1532,88043,Standby,8,165
71,BOMBEROS,-37.13864140806524,-70.82125784058468,59,7,3,1932200432,1499,87894,Standby,8,165
150,BRIGADA,-37.31970579716513,-70.74530949201318,87,5,3,2438847442,1953,83594,Standby,8,165
117,BRIGADA,-36.67176345208407,-71.49964789782044,118,4,3,2364144067,1873,78758,Standby,8,165
199,BRIGADA,-36.989701287640514,-70.89610646971757,105,6,2,2471979296,1977,82503,Standby,8,165
131,BRIGADA,-36.64841050532945,-71.4606036295515,97,5,2,2517595310,2089,85349,Standby,8,165
113,BRIGADA,-36.9378031178555,-70.89284210146366,92,5,3,2556847997,1924,88593,Standby,8,165
183,BOMBEROS,-37.109104183309185,-70.75554547073956,62,5,2,1758121813,1429,95306,Standby,8,165
44,BRIGADA,-36.729047406797925,-71.09732202692346,109,4,3,2476371047,1975,88900,Standby,8,165
56,HELICOPTERO,-36.56185968237313,-71.74379748936728,184,0,1,3995090912,3096,80383,Standby,8,165
177,BOMBEROS,-37.433753882296855,-70.56883213169132,63,5,2,2008692605,1458,104199,Standby,8,165
11,BRIGADA,-37.20697617360603,-70.56439302875492,104,2,3,2436404503,2253,103469,Standby,8,165
128,HELICOPTERO,-37.430916894892206,-70.48947479191774,184,1,1,4021615215,2947,92940,Standby,8,165
198,BOMBEROS,-36.44584178240707,-71.41193749756282,62,6,3,2064304904,1450,113980,Standby,8,165
187,BOMBEROS,-37.011590059682725,-70.5958775671992,52,7,3,2277450080,1387,117504,Standby,8,165
39,BRIGADA,-36.40601002080753,-71.6634416240544,104,6,3,2582387346,1980,109813,Standby,8,165
111,HELICOPTERO,-36.39945640272179,-71.51025352002189,170,1,1,4128522212,2946,99878,Standby,8,165
188,BRIGADA,-36.4083669076389,-71.27034444276038,98,4,3,2519231251,2103,115557,Standby,8,165
21,BOMBEROS,-37.71648284123367,-70.39875153886503,62,7,3,2120723169,1539,123377,Standby,8,165
76,BOMBEROS,-36.904156230988434,-70.51025525561074,59,7,3,2060260206,1538,130390,Standby,8,165
153,BOMBEROS,-36.30268526236318,-71.31057942568422,59,6,3,1857274868,1410,132127,Standby,8,165
41,AVION,-36.32430070800771,-71.18102409441683,303,2,1,4821958270,5021,93510,Standby,8,165
112,BOMBEROS,-36.23699899382551,-71.56923023113113,54,7,3,2086454546,1446,136528,Standby,8,165
163,HELICOPTERO,-36.221904154689405,-71.52390212973378,213,0,1,4102191723,3156,112164,Standby,8,165
47,BOMBEROS,-36.228526598458586,-71.43881966616996,60,6,2,2318200413,1488,137534,Standby,8,165
118,BOMBEROS,-36.252644065339055,-71.94443594142412,56,7,3,1901094034,1488,139255,Standby,8,165
134,BOMBEROS,-37.683578175703666,-70.21304404755388,66,4,3,2211543709,1543,142629,Standby,8,165
27,BOMBEROS,-36.763505940442705,-70.44969768850824,67,5,4,1860422502,1435,143050,Standby,8,165
143,BOMBEROS,-37.64257002449125,-70.19860684006227,55,7,3,2164232550,1634,145692,Standby,8,165
142,BRIGADA,-36.88777992160222,-70.33528824158878,111,5,2,2449496260,1885,139468,Standby,8,165
26,BOMBEROS,-36.09996491281254,-71.76997033374775,56,6,3,2189872563,1258,152271,Standby,8,165
169,BOMBEROS,-37.18455179641099,-70.1760132791297,67,6,3,1826449746,1600,151228,Standby,8,165
23,AVION,-36.48788615399631,-70.5842081366314,266,2,1,5080756977,4978,118702,Standby,8,165
149,BRIGADA,-37.041159236031106,-70.21742779874926,115,6,3,2545999103,1821,143732,Standby,8,165
124,BOMBEROS,-37.39781312670994,-70.13022390269359,60,5,3,2069662866,1531,153078,Standby,8,165
48,HELICOPTERO,-36.20114097764863,-70.98546386432888,243,0,1,3975734151,2816,123967,Standby,8,165
152,BOMBEROS,-36.70512831974888,-70.33660708159333,60,6,4,1987116257,1533,158101,Standby,8,165
100,BOMBEROS,-36.00374164567378,-71.58712955883041,60,4,4,2120054997,1339,161158,Standby,8,165
